name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
Health Through God's Pharmacy,Maria Treben,1,4.5,14.35,$,16.0,9783850687737,1,dataset/Medical/0000212.jpg
Confessions of a Sociopath,M. E. Thomas,1,3.0,8.31,$,12.9,9781447242734,1,dataset/Medical/0000213.jpg
Potter & Perry's Fundamentals of Nursing - Australian Version - 5th Edition. Print Book & E-Book,Douglas,2,0.0,91.74,$,102.48,9780729542364,1,dataset/Medical/0000214.jpg
Healing Back Pain (Reissue Edition),John E. Sarno,1,4.0,7.32,$,10.3,9781538712610,1,dataset/Medical/0000215.jpg
"Overcoming Binge Eating, Second Edition",Christopher G. Fairburn,1,4.0,14.41,$,16.0,9781572305618,1,dataset/Medical/0000216.jpg
Without Conscience,Robert D. Hare,1,4.0,14.78,$,17.0,9781572304512,1,dataset/Medical/0000218.jpg
"Women's Bodies, Women's Wisdom",Christiane Northrup,1,4.5,20.19,$,24.0,9780553386738,1,dataset/Medical/0000219.jpg
The Happiness Trap Pocketbook,Russ Harris,1,4.0,7.98,$,12.9,9781472111821,1,dataset/Medical/0000220.jpg
Descartes' Error,Antonio Damasio,1,4.0,6.85,$,13.9,9780099501640,1,dataset/Medical/0000221.jpg
"Disarming the Narcissist, Second Edition",Wendy T. Behary,1,3.5,10.59,$,17.0,9781608827602,1,dataset/Medical/0000223.jpg
Maybe You Should Talk to Someone,Lori Gottlieb,1,4.5,17.14,$,21.1,9781911617044,1,dataset/Medical/0000224.jpg
"Overcoming Anxiety, 2nd Edition",Helen Kennerley,1,4.0,6.07,$,13.9,9781849018784,1,dataset/Medical/0000225.jpg
The Unexpected Joy of Being Sober,Catherine Gray,1,4.5,8.43,$,12.4,9781912023387,1,dataset/Medical/0000226.jpg
Overcoming Multiple Sclerosis Cookbook,Ingrid Adelsberger,1,4.5,16.1,$,21.1,9781760113742,1,dataset/Medical/0000227.jpg
The Psychobiotic Revolution,Scott C. Anderson,2,4.0,16.3,$,26.3,9781426218460,1,dataset/Medical/0000229.jpg
Just Eat It,Laura Thomas,1,4.0,12.62,$,16.0,9781509893911,1,dataset/Medical/0000230.jpg
The Dance of Anger,Harriet Lerner,1,4.0,9.46,$,12.4,9780722536230,1,dataset/Medical/0000231.jpg
